tweet,sentiment
Ve mesai biter,Pozitif
bugün tüm gün evdeydim ve yüz maskesi saç maskesi vs derken kendimi kaybettim birazdan makyaj yapıp tv izlicem,Pozitif
23 nisan ulusal egemenlik ve çocuk bayramımız kutlu olsun,Pozitif
Sergen Yalçın söylediklerinde haklı Bu adamla oturup futbol konuşmak istiyorum Çünkü zeki insanın hali bir başka oluyor ,Pozitif
 mehtapBozaslan Çağrı karışma lan kıza seni öldürürüm ,Negatif
sikmekte ısrarcıyım seni,Negatif
beyazlar içinde çok güzelsin meleğim  canımın içi  işıl ışılsın parlıyorsun prensesim,Pozitif
Özellikle Gundi Ve Böyle Tipsiz Domatesler Seçip Alın ,Negatif
"Kardeşler, marksistim ama kadınlarla kendimi eşit görmüyorum, kalemine güvenen varsa da bu konuyu sonuna kadar tartışır, kellesini alırım, geçin bu feminist yardakçısı light erkek ağızlarını",Negatif
erkekler cumadayken size öğüt vereyim kızlar boşuna okuyup sabahlara kadar ders çalışarak gençliğinizi heba etmeyin tek,Pozitif
Domal sikeyim canım ,Negatif
kendinden utan şerefsiz,Negatif
Lan zeynep karısı ne insanlara duygu kastırıyon kancık üj bej güne gelicen dayanamayıp bilmiyoz mu biz seni at karı gel buraya bak best teyzeliğin elden gidiyeahh ,Negatif
"Hahahaaaa... Bu benim de aklıma geldi ama, oralara uzanmayayım dedim.",Pozitif
 Özrü kabahatinden büyük ama sarhoşken kız çocuğunu ayırt etmiş namussuz ,Negatif
orospu catelyn,Negatif
Yusuf senin Türkcen kötü galiba bak orda adam New York times in yazısını okudum diyor,Pozitif
Amına kodumun gavatı Arap özentisi pezevenk Atatürk ün getirdiği alfabe sayesinde yazıyorsun hala daha yahudi diyorsun adama ulan tamam sevmiyorsun saygını Yunanlılara karşı esirgeme bari götveren ,Negatif
şu an bannerımdaki söz çok özel bence ve ait olduğu şarkı da the 1975  paris,Pozitif
Are the red scissors yours Kırmızı makaslar senin mi ,Pozitif
Konserve mısır sevmeyende ne biliyim ,Pozitif
endeavor dünyasında güzel gelişmeler devam ediyor girisimcilere tebrikler destekcilerimize teşekkürler  ,Pozitif
 Allahım ne hale geldik Ya Rabbim her gün bir vahşet her gün bir tecavüz bence tutuklanmasın gebertilsin,Negatif
Sevgicigim bazi insanlr o kadar profesyonel yalqn soyler ki Sizofren ozellikleri diyelim Beyninde buna kendini inandirir bu sayede cok inandirici yalan soyler Su andada arka arkaya sorular sorulunca bocaliyor ,Pozitif
küçük bir sürtük etti bu hayat beni ,Negatif
en baştaki beyfendi abaza kalmış saadetli galiba,Negatif
durmaksınız sürerken ögrenciler olarak isteklerimiz haklarımızın verilmesi,Pozitif
En fazla yarrak denk gelir oda benlikk,Negatif
miniklerden oluşan dev kadro,Pozitif
Abi neden bağnazsınız ya uf üzülüyorum size ,Negatif
Oğlum bu vtr yi niye final günü vermeniz aq açık ara farkla birinci olurduk ben sizin yapacağınız işe sokim ,Negatif
Dişlek tipsiz ,Negatif
Gün bitti hala değişen bir şey yok Hissiyatımı sikem ,Negatif
yaav siktir git gerizeka takım bitik bu hocayla şampiyon olunmaz,Negatif
Yarrak gibi sabah,Pozitif
ne kadar yalın ne kadar doğrudan hedefe yönelik bir tutum tebrikler cidden,Pozitif
su bolumleri adem ve havvadan baslatmayi birakir misiniz,Pozitif
tuvana ne midesizmişsin beee selçuk yöntem ne abi,Negatif
ramak kaldı geri zekalı feminikler gibi birini dövmeme bu ülkenin insanı neden bu kadar angut,Negatif
Cidden sizin gibi insanlarla aynı ülkede yaşadığım için kendimden utanıyorum! Aryakuş her zaman yanındayım(ız) umarım o pislik bir an önce yakalanır,Negatif
şimdi bu sapık düşüncelerin sebebiyle sana vurmaya kalkarsam yemekten sonra çayın yanında uygun bir dil ile nedenini sormanı mı bekleyeyim bu mudur bana uyar hacı adres ver geleyim o zaman ,Pozitif
Koray Avcı yı klipte arka mahalledeki salak eski flörtüme benzettim moraller sıfır ,Negatif
MAL cihanın poposu,Negatif
lan bücür amma komiksin ha,Negatif
"Bir ismin finale kalabilmesi için Dokunulmazlıklarda 12/12 yapması gerekiyorsa, bu sistemde adalet diye bir şey yoktur.",Pozitif
şimdiki aklım olsaydı var yaaa ,Pozitif
haddinden fazla gevşek twitmentionlarınız yüzünden çoğunu engelleyesim var bu ne embesil hareketler aq veled,Negatif
Köpek varken nasıl kedi sevebiliyor ,Pozitif
"Muhabbeti bitirdiklerimden pişman değilim, aklım hala bitiremeyip tahammül ettiklerimde.",Pozitif
ve insan anlamıyor yolumuz da yoldaşımız da allah,Pozitif
bilinç altıa sıçılmış bir zavallı aşifte işte kafasını sıkar ancak,Negatif
"Trabzon'un Of ilçesinde doğal yaşam alanında gezinen ayıyı tüfekle vuran iki vatandaş, daha sonra cansız bedenini yumrukladı.",Pozitif
Uyuyan kediyi uyandırmak... O üç göz kapağının ve göz bebeklerinin hareketi... Anlayamazsınız,Pozitif
Pardon da onalr kim ya her önüne gelen fenomen olabilir ordan yani seviye ayırt etmiyor malesef keşke etse,Pozitif
 RABBİM karşınıza Gönlü Güzel Ruhu Güzel Kalbi Güzel İNSANLAR çıkarsın İNŞAALLAH Akşamınız hayr olsun güzel insanlar çıkarsın,Pozitif
Profilime Enver Paşa koyam Göktürkçe Türk yazam sabah akşam iktidar övem Atatürkçülere saldiram ,Pozitif
"Kurtuluş Savaşının en önemli adımlarından olup ""Milli sınırlar içinde vatan bölünmez bir bütündür, parçalanamaz. kararıyla Milli mücadelenin dönüm noktası Erzurum Kongresinin 101. Yıl dönümünde Gazi Mustafa Kemal Atatürk ve tüm kahramanlarımızı saygı ve minnetle anıyorum.",Pozitif
"Bugün Atatürk'ün imzaladığı kararnameyi iptal edenlere yarın Atatürk'ün imzaladığı başka hangi kararları, kararnameleri iptal etmeyi düşünüyorsunuz diye sormak lazım. Atatürk'ün kurduğu laik Cumhuriyeti dönüştürmek isteyen malum siyasete yol veren bir karardır bu.",Pozitif
çok güzel gençlik dizisi,Pozitif
Benimkimi çalıyorlar ,Pozitif
Exatlon şuan çekiliyor olsaydı acun takımları eşitlemek için beyaz takıma berkanı transfer ederdi sonra siyahlar oyun kazanamazdı,Pozitif
"Suudi Arabistan Kralı Selman, safra kesesindeki iltihap nedeniyle başkent Riyad'daki hastaneye yatırıldı",Pozitif
"Son günlerde hızlı fiyat düşüşünden dolayı üreticilerimizin tarlasında kalan bamyaları satın alarak, Aydınlı ihtiyaç sahibi ailelere dağıtmaya başladık.Üreticimizin mağdur olmaması için her zaman en hızlı çözümleri sunmaya devam edeceğiz.",Pozitif
"Turizm için kasıtlı yangınlar çoğaldı, müşterisi arap ise para boldur, ciğerlerinize ateş düşşün inşallah o. Ç",Negatif
bu piç nerde yaşar şu hocayı kılıklı zındığı bir ziyaret etmek isterim,Negatif
Ahhh ahhh ne çektik be aşkım bu ayılardan,Negatif
öküz gibi sismissin ne evirilir ne çevirilir nede bu siskoluk heryerin sarkiklikla sıkılırsın,Negatif
Desteğiniz için teşekkür ederiz,Pozitif
Hay ağzına sağlık ya tam bir gargamel kendini birşey sanıyor ezik ,Negatif
git sen kumda oyna bebe,Negatif
"Türk televizyon dizileri: Tecavüz, kadına şiddet, silahlı çatışma, evlilik dışı ilişki, ensest...Dön de bi kendi kıçına bak, insanların para verip izlediği şeylere bok atmadan önce.",Negatif
sanat öylesi mucizevi bir şey ki tanımadığın görmediğin ve hatta senden yüzyıllar önce yaşamış insanlarla aynı şeyleri hissediyorsun,Pozitif
Ulan Amerika vergiye ayaklandı siz vergiye siktiriyorsunuz götünüzü amk bi tur da ben bindirecem domal şuraya ,Negatif
 Bir zamanlar gülüşüyle huzur doldurduğun insanı gün geliyor unutturmak için oynamadığın oyunu bırakmıyorsun hayat Sana da ,Pozitif
Küçükken de gıdığım varmış şimdi de var beni hiç bırakmıyor canım gıdığım,Pozitif
dengemi kaybettim otururken düşüyodum kantinde bi kız bakıp kahkaha attı tamam gül de bu kadar da belli etme naza,Pozitif
Canim benim mesaj atiyoruz ama cevap yok ,Pozitif
Az önce bir araba yavru kediyi ezdi Can çekişerek öldü hayvan Ağlayacağım şimdi ,Pozitif
"arkadaşlar, kaçırdığınız çocukları satmak istediniz diyelim, doğru adres trendyol mudur gerçekten, yani sadece soruyorum? bence değildir ama yine siz bilirsiniz tabii.",Pozitif
körmüsün pislik kolundan nasıl tutmus ama galatasaray olunca görmezsiniz adiler,Negatif
azgın liseli sürtük,Negatif
seni severek öldürürüm ,Pozitif
 Sinem Geçmedi mi,Pozitif
"cem yıLmaz, beyazıt öztürk, okan bayüLgen ve türevLeri iktidarın eLini öpüp öLdü. boyun eğmedi, 88 yaşında öLdü. aLLah bütün komedyenLere seyfi dursunoğLu gibi sıraLı öLüm versin.",Pozitif
hiç bir yeri boş bırakma siyasete atılfutbol yorumlakedi sahiplensunum yap slayt özellikle harikasın be,Pozitif
Gündeme geri dönelim.. Exatlon tarafınızı görelim bakalım,Pozitif
bu dallama intihar videosu atmıştı zamanında dimi,Negatif
"Biri bir başkasına ""ahmak"" dediği zaman, bağlam içinde bunun bir ""tespit"" mi yoksa ""hakaret"" mi olduğunu ayırt edemeyen kişiye ""ahmak"" denebilir; caizdir.",Pozitif
yaşlı insanların şehiriçi otobüslerinden tam inecekleri an andaval şoförün dikkat,Negatif
birinin kıçı değer biri ağzına alır o gusül geçersiz ayy cenabet bunnar,Negatif
 genelde kırgın olduğu kişilerle muhatap olmaz,Pozitif
bu görüntüler ya da buna benzer görüntüler adına,Pozitif
 Tekgul İslam kimi seviyor çok merak ediyorum Kendi gibi düşünmeyen herkesi kafir müşrik münafık ilan etmiş Kuranda Yahudi ve Hristiyanları dost edinmeyin diyor Sahi kimi seviyor ,Pozitif
git gide daha da gelişiyor ülkemiz,Pozitif
İslam dinini seçen budist çift önceden önünde ibadet ettikleri putu kırdı Rabbim İslam dan ayırmasın Asrımızın putkıranlarına selam olsun ,Pozitif
Lan aldığımız adam formayı giyemeden sakatlandı ya bahtımızı sikem ,Negatif
ismin gibi saçma bir yorum yapmışsın kardeşim tebrikler,Negatif
Bu kadar yüzsüzlük fazla ya artık.,Pozitif
e senin ben gotunu sikim o zaman,Negatif
gerizeka bir orospu evladı olduğu için,Negatif
amcık ağızlı yardım topluyo 10 lir diyo 50 lira gönderen yokmu diyo,Negatif
kurşun yağdırırım sana akıllı ol,Negatif
Yapacağınız işe koyam MK ,Negatif
götlek civcive dokunamıyosun daha grkjlhndhynojey o ,Negatif
"Ak ya da kara değildir her şey, arada hayatın gri tonları da vardır...",Pozitif
bir gece ense köküne sıkacam kurşunu,Negatif
 Ne zaman az sosyalleşelim desek başımıza bi bela geliyor ,Pozitif
Kargomu hızlı gönderirmisiniz tatile çıkacağım,Pozitif
Maalesef meslektaşlarımızın hastalanmaya devam ettiklerini biliyoruz.,Pozitif
"Artık çocuğumuzu değil , köpeğimizi emanet edemiyoruz kimseye.oyle bir çağ. Öyle bir insanlık",Pozitif
bazı fotoğraflarda gülümsemiyorum çünkü pozu bi türlü bulamayıp bin tane çekildikten sonra hevesim kalmıyor ama makyaj boşun,Pozitif
Yarrak yesek daha iyi amk,Negatif
 Çok mu zor bu dünyada bir hayvan sevmek bir kadına çicek vermek ,Pozitif
Exatlon daki cezalar çok kötü lan,Pozitif
"Avrupa'nın Rusya'dan 120 dolara aldığı doğalgazı 280 dolara alıyoruz. ""Aradaki fark kime gidiyor?"" deyince terörist oluyoruz",Pozitif
Fahişe ufacık kız bahse geçen konu Sen kaç kişinin altına yattın bunu söyle Tamam iftira olabilir Türk askerini aşağılamaya yönelik bir provokasyon olabilir Ama yaşındaki kız için böyle şeyler yazman senin ahlakını ve ne kadar orospu bir kişilik olduğunu gösteriyor ,Negatif
UNESCO Ayasofyanın isminin değiştirilmesi onayımızı gerektirir buyurmuş.,Pozitif
 Evrime naylon poşet diyip yasin için pisliğinde boğul nasıl yaşında kızla böyle konuşursun vs tweetler atıyolar iki ,Negatif
Yeniden yapılandırma olacak mı? Faiz indirimi öncesinde kredi çekenler yapılandırma bekliyor.,Pozitif
Valla yıldım,Pozitif
biz bunlarin hepsine boyle yapanlara boyle konusanlara hirbo diyoruz,Negatif
Kapattığınız kapıların anahtar deliğinden bakmayın.,Pozitif
okan seni siker bicerim gotveren hain pezevenk,Negatif
Diyanet İşleri Başkanı Erbaş:  Ayasofya'da 3 imam ve 5 müezzin görev yapacak,Pozitif
İnanılır gibi değil... ,Pozitif
Kim namustan söz ediyorsa en namussuzu o dur,Negatif
süpersin uğur amca sen hiç susma,Pozitif
Bu aptl herifler cembar shipliyorsa bize niye saldırıyorlardı yumruğumu ağızlarına mı sokayım illa ,Negatif
yusufu zaten dovucem aptal yaaaa bak yine sinir oldum uuufff shajsjkahssjg ,Negatif
Kim sikdi ,Negatif
 Kanka köpek var ordan gitmeyelim FİYUUUUUİFTT GEL OLUM GEH TUTUTUTUUTH SSSSSST GEH OLM ,Pozitif
Mabel Matiz değerlerimizi ve kültürümüzü emin olun ki sanatçı diye nitelendirdiğiniz herkesten çok daha iyi yansıtıyor. Asıl sanatçı o! Bu ülkenin en kaliteli sanatçısı o,Pozitif
peki sizin dudaklarınızın kahkahalarınızın makyaj malzemelerinizin 1600 liraya çalışan adamın alın teriyle nasırlı elleriyle,Pozitif
Dileriz mutlu olasın bir ömür boyu damaaaattt ,Pozitif
iran ırak suriye ve Türkiye de emperyalistlere maşa olan pkk Pyd ypg Pjak orta doğunun kısacası PİYONU ,Pozitif
Kendi kendime konuşurken bir şarkı geliyor tam o an ihtiyacım olan bir kelime söylüyor çok tatlı bir ahenkle sonra kayboluyor düşünüyorum düşünüyorum ne sözü hatırlayabiliyorum ne şarkıyı ,Pozitif
günde 50 tivit atıyo ben size sadece birini atıyorum :d,Pozitif
Bora evrimi dört gözle bekliyordun Barış için ne umdun ne buldun Bee bak çocugu hırsız çıkarmak için film bile oynamışlar bir kere daha ,Pozitif
Bir KANGALI otobüsün bagajına kapatıp satan orospu oğlu orospu çocukları bu güzel canın boğularak ölmesine neden olmuş Umarım acı içinde can çekişerek geberirler Böyle değerli bir ırkı satın almaya kalksan tane prosedür çıkıyor karşına ,Negatif
yediden yetmişe öğrencisinden hocasına koskoca bir ailenin sahiplenişi ve kenetlenişidir cerrahpaşaduruşu,Pozitif
Yapabilecek birşey varmı dostum ,Pozitif
senin en kurnaz halin benim yanımda andaval,Negatif
Okuduğunuzu mu anlamıyorsunuz? Yoksa anlama niyetiniz mi yok?,Pozitif
Bakanlar görevi devraldı !,Pozitif
Yok mu eşini sunacak bir bey Keyfimize bakalım zevk sikiş seks Sürekli aktifim yazın ,Negatif
Yok cehennem burası İnsan hangi birine tepki göstereceğine şaşıyor ,Pozitif
ulunn dun cizmisdin tebrikler ihlgm yarin bi direk diker mi,Pozitif
İşte sünnetsiz yarrak,Negatif
soysuzluk zor zanat tabi,Negatif
kuş kadar beyniyle laf soktuğunu sandı fahişe,Negatif
ve dünya 56 saniyeliğine güzelleşiyor  ,Pozitif
 anidenbahar Ya da en azından güçlendirici antenler çok sık arayla yerleştirilecekler Mahallelerimiz yüksek frekanslı dalga boyu ileten antenlerle şenlenecek ,Pozitif
 Ozlemm_ Soysuz köpek devletime kahpelik edersen hak ettiğini yaşarsın ,Negatif
 İBB deki Babacan prensinin faciaları Dilek Güngör Anlayacağınız Çağlar ın Ziraat in başına bela ettiği krediler hâlâ zararda,Pozitif
Az yiyin de kendinize bir beyin alın,Negatif
 Sn Karalar haciz olaylarına yabancı birisi değil o sebeple de hemen bunu şova çevirecek manevraları yapmayı çok iyi biliyor,Pozitif
tüm gün sırtımda bilgisayar ile hunharca yürüdüm tez uğruna yine bilgisayara gözlerimi feda ettim eve donebiliyor,Pozitif
Perdeye doğru değil aynaya doğru domal ,Negatif
Sıkdı bunlar arkadaş ya Futboldan anlayan insanları getirin artık yönetim ekiplerine ,Pozitif
Tamam seviyoruz da hiç mi yumruğunu masaya koyup yapacağın işe koyam nike diyecek adam kalmadı revizyon isteyin rework isteyin bir şey isteyin de forma satışları dip yapmasın ,Negatif
Niye adama tipsiz diyosun amk koyarım yunus emreye ,Negatif
nasipetme yarın bi gün intihar ederse allah belanızı versin kızın üstüne bu kadar gidilir mi dersiniz ,Negatif
Espri yaptığını zanneden bu orospu çocuğu hukukçuymuş. Çocuğu varsa eşine ve hısım akrabasına sesleniyorum.. çocuklarınızı bu sapık orospu çocuğundan uzak tutun,Negatif
ben artik 40 yas ustu geri kafali+ota boka karisan+ gerizekali+cahil oc insanlarla muhatap olmak istemiyorum,Negatif
anasını bile satar bu dümbük,Negatif
"Burdur'un Yeşilova ilçesindeki Salda Gölü'nü korumaya yönelik çalışmalar, devam ediyor. Burdur Valisi Ali Arslantaş, ""Su analiz sonuçlarına göre Salda Gölü'müzün suyu içilebilir"" dedi.",Pozitif
hayırlı akşamlar,Pozitif
"Gez ve kimseye söyleme, gerçek bir aşk hikayesi yaşa, kimseye söyleme. Mutlu ol, kimseye söyleme. İnsanlar güzel şeyleri mahveder.",Pozitif
Salak amcık,Negatif
Maşallah Allah sevdiklerine bağışlasın güzel aile ,Pozitif
`` En sık kullanılan kelimeler e rastgele basmışsın gibi geldi Tae xvkdhkgchkv ,Pozitif
Seni bırakıpta kimleri seveyim ,Pozitif
annem her zaman hayatın bir kutu çikolata gibi olduğunu söylerdi içinde ne olduğunu asla bilemezsin ,Pozitif
 CHP Yunan dostlarına meselesini nasıl anlatacaklarını kararlaştırmak için Parti Meclisini acil olarak toplan ,Negatif
sinirden elim ayağim titriyo allah belani versin şerefsiz pisliğinde boğul it,Negatif
Umarım can çekişerek ölürsünüz ,Negatif
haberden bahsetmiyorum ahmaak herif haber sonuç beğenilmeyince seçimin tekrarlanmasından,Negatif
akrabamın tavuk almasını şikayet edicem.... ee vatandaslık görevi?,Pozitif
Bizler Biriz Yunan tohumları kudursun ,Negatif
buyrun yine ezber cümleler bu solcuyum diye geçiniyor yani türk tipi ucube bir solculuk,Negatif
ayışığında salıncağa bin ve salla kendini olabildiğince yükseklere,Pozitif
"Bekçi yasası çıkmadan dedik ya, bundan sonra haberlerde bol bol bekçi vatandaş kavgası göreceğiz diye. Bu bekçiler bildiğin Irandaki ahlak polisi görevinin aynısını icra edecekler. Bi çok bekçi bu yüzden öldürülebilir de. Zira namus bekçiliği yapmalarına herkes müsade etmez.",Pozitif
yazık kafana ,Negatif
Bu ali rıza bey bayağı mal Şevket bankayı soydu gerçi soymadığı kişi de kalmadı aq ama neys sonra diyor ki ben senin ahlakından hiç süphe etmedim gmgkdkdlld bu çocuk ilk bölümlerde de evli ferhundeyle neyse xd ,Negatif
Bakan Kurum Alt gelir grubunda evi olmayan vatandaşımız kalmayana dek konut projemizi sürdüreceğiz,Pozitif
ne istediğini bilen insanlara özeniyorum ya ben seçimlerimde düğün öncesi alışverişe çıkarılmış huysuz muhafazakar gelin gibiyim sıfır karar,Pozitif
gerizeka insanlar acayip mutlu aq imreniyorum,Negatif
 Bu sebeple bu gerzek ahlaksızlar Hatay baro başkanımızın baro başkanı kimliği imkanını kullanmamasını bilakis sıradan vatandaşın da hakkı olan haklarını aramaya çalışması hukuka aykırı davranışları sorgulaması ,Negatif
küçük hanımlar küçük beyler sizler hepiniz geleceğin bir gülü yıldızı ikbal ışığısınız yurdu asıl aydınlığa boğacak olanlarsınız,Pozitif
lan git kıçını sil önce Dikkat et o asır bir yerine kaçar senin Geldiğin deliğe sokturma kendini ,Negatif
allah aşığı insancıl aşifte o kullandığın cumlelere dikkat et yoksa senin hakkında yasal süreç basl,Negatif
namussuz  şerefsiz  haysiyetsiz serbest kaldı.,Negatif
 Köpek otopsiye alındı Anal bölgede parçalanma kaburgalarda kırık akciğerlerinde ve boğazında tahribat var,Pozitif
Elon Musk'a laf edenler ilkokul çocuğu mu?,Pozitif
efsane muazzam makyaj yapabilme yeteneğim var youtuber olarak yola adım atmaya karar verdim zengin olacağım o zaman,Pozitif
İnternet ya da sosyal medyanın etkisiyle dağılan dikkatimiz verimli çalışma anlamında bize zorluklar yaşatıyor. Sanılanın aksine bu sadece dikkati toplayamamak ya da odaklanamamakla alakalı değil. Mevzu biraz daha derin.,Pozitif
bilmesek he dicez butün domates ceviz atmış evlat olsa sevilmez bu lensli iticii,Pozitif
 ABD nin istedikleri Ege yi Yunan a D Akdeniz i İsrail e Fıratın doğusunu PKK ya bırak S kullanma F i ,Pozitif
Bisikletçiller için kullanışlı bir ürün : Bilek Mirror,Pozitif
itlik yapıyorsun,Negatif
helal olsun başakşehir e tebrikler bizim gerizeka tudor da acayip kadro sürsün amk,Negatif
"Bize de 305 TL geldi Üstad,Ankara'da",Pozitif
ya siktir git ,Negatif
doğum günün kutlu olsun björk bebeğim,Pozitif
Yeni şarkı çıkmış izlemeyen pişman oluyor,Pozitif
bir tam bir serseri dostum,Negatif
"Ihtiyaç olur satılır niyetiyle arkadaşımın ,gece gündüz emekle dikilen maskelerinin bir an önce sahiplerine  ulaştıralım",Pozitif
Sayın Sik siğili bana da bir dövmeci kadın lütfen ,Negatif
Yasin elenirse yarışmanın kurgu olduğuna inanmamam için hiç bir sebep kalmaz.,Pozitif
 belal bdel al Profil resmini değiştir O ayakkabıyı bir tarafına sokturma ,Negatif
Bu anketi HAnGİ gerzek hazırladı ,Negatif
Kız öldü amk afafsg,Negatif
 Dikkat köpek var ,Pozitif
 Bu adam kim ve niye ünlü amk ,Negatif
lan amcık amcık adminmisin yöneticimisin o askerlere şehit oldu denir pezevenk,Negatif
engelli sürücüye ayrılan alana park eden sürücünün arabasının üstünü kullanarak başarılı bir sanat eserine imza atmışlar,Pozitif
bekbele mahallesi nden iskenderun belediyesi ne teşekkür,Pozitif
 Kaicalamity Bekle ağzına geleceğim daha kancık herif ,Negatif
hayatıma bu kadar salak insanı almayı nasıl başardım anlamıyorum,Negatif
aha buda army yüz karası embesil,Negatif
Karı yapılı? Yobaz pislik pisliginde boğul köpek,Negatif
"Ayakta duracak halin yokken, hayatta duracak nedenlerin varsa, korkma düşmezsin.""",Pozitif
adam bişey demiş merakından dediğin lafa bak andaval,Negatif
Baro başkanları Kuğuluparkta polis kuşatması altındayken TBMM'de grup önerilerini izleyen Barolar Birliği Başkanı Metin Feyzioğlu meclisten izledi,Pozitif
Bu dağlar kömürdendir,Pozitif
cansu çok tatlısın,Pozitif
sakın geleyim deme amk el freni,Negatif
"kazanamayacaksın. Üstüne sana oy atacak bir kısım gençle , karşı durduğun bozuk düzenin ekmeğine yağ sürüyorsun",Pozitif
rabbim khar ismiyle kahretsin inşalah ,Negatif
 mymaddqueen Seviyorım mu dedim ben köpek attım lan daha karizma diye it ,Negatif
bu orospu çocuğu nazmi ardıç kumpas mağdurlarını bile cezaevinde dinleten bir kahpe,Negatif
Başının belası olayım mı ,Pozitif
bak bak nasıl bağlamış sonunu denyo bir de fatiha okuyalım mübarek bayramın aşkına dingil oğlu dingil siktir gidin l,Negatif
Töderde düşse düşse olur de ben koyam olsun aq Krkso ,Negatif
azıcık bende mutlu olayım ya tamam bişey istemiyorum kötü şirret uyuz insanlar benden uzak dursa da yeter ama nerde,Negatif
 muekkid Seni çöpe atacaım poşete yazık falan hahahah ,Pozitif
islâmın temel prensibi önce insan olmaktır,Pozitif
Siz hiç sepete ürün koyarken tükendiğini gördünüz mü şansımı sikem ,Negatif
tutkunun aşkın öfkenin dansı tangonun ilginç hikayesi,Pozitif
günaydın muhteşem taraftarı,Pozitif
"Engin Özkoç: Biz Çoklu baro bu ülkede kutuplaşma, bölünme yaratır demiştik",Pozitif
ismini bile duymamıştım desem yalan olmas,Pozitif
zampara nxlxmsşxlxzşzşş,Negatif
